"","team","salary","player","position","season"
"1981","Toronto Raptors",3200000,"Kris Humphries","PF","2008-2009"
"1982","Portland Trail Blazers",3163769,"Channing Frye","F","2008-2009"
"1983","Minnesota Timberwolves",3163680,"Kevin Love","PF","2008-2009"
"1984","Houston Rockets",3100667,"Luis Scola","F","2008-2009"
"1985","Los Angeles Lakers",3100000,"Trevor Ariza","SF","2008-2009"
"1986","Oklahoma City Thunder",3100000,"Damien Wilkins","SG","2008-2009"
"1987","Memphis Grizzlies",3093333,"Marc Gasol","C","2008-2009"
"1988","Portland Trail Blazers",3084240,"Brandon Roy","SG","2008-2009"
"1989","Houston Rockets",3e+06,"Carl Landry","PF","2008-2009"
"1990","New Jersey Nets",2986080,"Yi Jianlian","SF","2008-2009"
"1991","San Antonio Spurs",2978000,"Matt Bonner","C","2008-2009"
"1992","Sacramento Kings",2912823,"Ike Diogu","PF","2008-2009"
"1993","Golden State Warriors",2900000,"Kelenna Azubuike","SF","2008-2009"
"1994","New York Knicks",2873520,"Danilo Gallinari","SF","2008-2009"
"1995","Minnesota Timberwolves",2815560,"Randy Foye","SG","2008-2009"
"1996","Los Angeles Lakers",2769300,"Andrew Bynum","C","2008-2009"
"1997","Washington Wizards",2739669,"Andray Blatche","C","2008-2009"
"1998","Minnesota Timberwolves",2725920,"Corey Brewer","F","2008-2009"
"1999","Charlotte Bobcats",2661027,"Sean May","C","2008-2009"
"2000","Boston Celtics",2650000,"Eddie House","SG","2008-2009"
"2001","Houston Rockets",2634480,"Steve Francis","PG","2008-2009"
"2002","Minnesota Timberwolves",2630000,"Mark Madsen","PF","2008-2009"
"2003","LA Clippers",2623200,"Eric Gordon","SG","2008-2009"
"2004","Sacramento Kings",2620126,"Rashad McCants","SG","2008-2009"
"2005","Miami Heat",2612835,"Dorell Wright","SF","2008-2009"
"2006","Memphis Grizzlies",2579400,"Rudy Gay","SF","2008-2009"
"2007","Orlando Magic",2565000,"Keith Bogans","SG","2008-2009"
"2008","Minnesota Timberwolves",2500000,"Craig Smith","PF","2008-2009"
"2009","Los Angeles Lakers",2500000,"Chris Mihm","C","2008-2009"
"2010","San Antonio Spurs",2500000,"Michael Finley","SG","2008-2009"
"2011","Golden State Warriors",2497320,"Brandan Wright","F","2008-2009"
"2012","LA Clippers",2484000,"Jason Hart","PG","2008-2009"
"2013","Toronto Raptors",2449184,"Joey Graham","SF","2008-2009"
"2014","Milwaukee Bucks",2403120,"Joe Alexander","SF","2008-2009"
"2015","Indiana Pacers",2329805,"Danny Granger","SF","2008-2009"
"2016","Minnesota Timberwolves",2300000,"Sebastian Telfair","PG","2008-2009"
"2017","LA Clippers",2300000,"Ricky Davis","SG","2008-2009"
"2018","Chicago Bulls",2295480,"Joakim Noah","C","2008-2009"
"2019","Indiana Pacers",2272860,"Maceo Baston","SF","2008-2009"
"2020","Oklahoma City Thunder",2252400,"Mouhamed Sene","C","2008-2009"
"2021","Orlando Magic",2250000,"Tyronn Lue","PG","2008-2009"
"2022","Charlotte Bobcats",2208960,"D.J. Augustin","PG","2008-2009"
"2023","Sacramento Kings",2180760,"Spencer Hawes","PF","2008-2009"
"2024","Orlando Magic",2139720,"JJ Redick","SG","2008-2009"
"2025","Memphis Grizzlies",2119102,"Hakim Warrick","PF","2008-2009"
"2026","New Jersey Nets",2098560,"Brook Lopez","C","2008-2009"
"2027","Utah Jazz",2074302,"Jarron Collins","C","2008-2009"
"2028","Atlanta Hawks",2071680,"Acie Law","PG","2008-2009"
"2029","New Orleans Hornets",2032800,"Hilton Armstrong","PF","2008-2009"
"2030","New York Knicks",2020179,"Nate Robinson","PG","2008-2009"
"2031","Indiana Pacers",2002623,"Jarrett Jack","G","2008-2009"
"2032","Utah Jazz",2e+06,"Brevin Knight","PG","2008-2009"
"2033","Detroit Pistons",2e+06,"Walter Herrmann Heinrich","PF","2008-2009"
"2034","Portland Trail Blazers",1993560,"Jerryd Bayless","PG","2008-2009"
"2035","Sacramento Kings",1983454,"Francisco Garcia","SG","2008-2009"
"2036","Phoenix Suns",1976400,"Grant Hill","SF","2008-2009"
"2037","New Orleans Pelicans",1976400,"Eddie Jones","SG","2008-2009"
"2038","Philadelphia 76ers",1968120,"Thaddeus Young","PF","2008-2009"
"2039","Miami Heat",1962378,"Luther Head","PG","2008-2009"
"2040","Oklahoma City Thunder",1939893,"Johan Petro","C","2008-2009"
"2041","Oklahoma City Thunder",1931160,"Thabo Sefolosha","SF","2008-2009"
"2042","New Jersey Nets",1910000,"Jarvis Hayes","SF","2008-2009"
"2043","Orlando Magic",1910000,"Anthony Johnson","PG","2008-2009"
"2044","Houston Rockets",1910000,"Brent Barry","SG","2008-2009"
"2045","Sacramento Kings",1893840,"Jason Thompson","PF","2008-2009"
"2046","Detroit Pistons",1877572,"Jason Maxiell","PF","2008-2009"
"2047","New Orleans Hornets",1869600,"Julian Wright","SF","2008-2009"
"2048","Utah Jazz",1834680,"Ronnie Brewer","SF","2008-2009"
"2049","Denver Nuggets",1824493,"Linas Kleiza","SF","2008-2009"
"2050","Dallas Mavericks",1800000,"Antoine Wright","SF","2008-2009"
"2051","Indiana Pacers",1799160,"Brandon Rush","SG","2008-2009"
"2052","New York Knicks",1788033,"David Lee","PF","2008-2009"
"2053","LA Clippers",1776240,"Al Thornton","SF","2008-2009"
"2054","Houston Rockets",1768000,"Chuck Hayes","PF","2008-2009"
"2055","Sacramento Kings",1742760,"Cedric Simmons","SF","2008-2009"
"2056","Golden State Warriors",1709280,"Anthony Randolph","SF","2008-2009"
"2057","Milwaukee Bucks",1700000,"Francisco Elson","C","2008-2009"
"2058","Phoenix Suns",1700000,"Goran Dragic","PG","2008-2009"
"2059","Detroit Pistons",1687320,"Rodney Stuckey","PG","2008-2009"
"2060","Minnesota Timberwolves",1655760,"Rodney Carney","SG","2008-2009"
"2061","Golden State Warriors",1634000,"Kosta Perovic","C","2008-2009"
"2062","Phoenix Suns",1623720,"Robin Lopez","C","2008-2009"
"2063","Indiana Pacers",1620000,"Travis Diener","PG","2008-2009"
"2064","Washington Wizards",1602960,"Nick Young","G","2008-2009"
"2065","Dallas Mavericks",1600000,"Devean George","SF","2008-2009"
"2066","Dallas Mavericks",1572960,"Shawne Williams","SF","2008-2009"
"2067","Memphis Grizzlies",1572221,"Hamed Haddadi","C","2008-2009"
"2068","Philadelphia 76ers",1542600,"Marreese Speights","F","2008-2009"
"2069","New Jersey Nets",1522920,"Sean Williams","PF","2008-2009"
"2070","Atlanta Hawks",1500000,"Ronald Murray","SG","2008-2009"
"2071","Dallas Mavericks",1500000,"J.J. Barea","PG","2008-2009"
"2072","Indiana Pacers",1465440,"Roy Hibbert","C","2008-2009"
"2073","Golden State Warriors",1446720,"Marco Belinelli","G","2008-2009"
"2074","Washington Wizards",1446720,"Oleksiy Pecherov","C","2008-2009"
"2075","Toronto Raptors",1427040,"Quincy Douby","SG","2008-2009"
"2076","San Antonio Spurs",1410441,"Drew Gooden","PF","2008-2009"
"2077","Washington Wizards",1392240,"JaVale McGee","C","2008-2009"
"2078","Memphis Grizzlies",1381560,"Javaris Crittenton","PG","2008-2009"
"2079","Denver Nuggets",1369920,"Renaldo Balkman","SF","2008-2009"
"2080","Cleveland Cavaliers",1329480,"JJ Hickson","C","2008-2009"
"2081","Washington Wizards",1326360,"Jason Smith","PF","2008-2009"
"2082","Sacramento Kings",1319651,"Calvin Booth","C","2008-2009"
"2083","Boston Celtics",1315080,"Rajon Rondo","PG","2008-2009"
"2084","Milwaukee Bucks",1300000,"Malik Allen","PF","2008-2009"
"2085","Charlotte Bobcats",1276320,"Alexis Ajinca","C","2008-2009"
"2086","Miami Heat",1273200,"Daequan Cook","SG","2008-2009"
"2087","Golden State Warriors",1262520,"Marcus Williams","PG","2008-2009"
"2088","LA Clippers",1262275,"Brian Skinner","PF","2008-2009"
"2089","San Antonio Spurs",1262275,"Jacque Vaughn","PG","2008-2009"
"2090","Toronto Raptors",1250000,"Roko-Leni Ukic","PG","2008-2009"
"2091","New Jersey Nets",1225200,"Ryan Anderson","PF","2008-2009"
"2092","Charlotte Bobcats",1222320,"Jared Dudley","SF","2008-2009"
"2093","New Jersey Nets",1212120,"Josh Boone","C","2008-2009"
"2094","Oklahoma City Thunder",1200000,"Joe Smith","PF","2008-2009"
"2095","Utah Jazz",1188000,"Ronnie Price","PG","2008-2009"
"2096","Utah Jazz",1176240,"Kosta Koufos","C","2008-2009"
"2097","Orlando Magic",1176240,"Courtney Lee","SG","2008-2009"
"2098","New York Knicks",1173480,"Wilson Chandler","SF","2008-2009"
"2099","Memphis Grizzlies",1163520,"Kyle Lowry","PG","2008-2009"
"2100","Portland Trail Blazers",1084080,"Rudy Fernandez","SG","2008-2009"
"2101","Utah Jazz",1081440,"Morris Almond","SG","2008-2009"
"2102","San Antonio Spurs",1080000,"Ime Udoka","SG","2008-2009"
"2103","Los Angeles Lakers",1080000,"Jordan Farmar","PG","2008-2009"
"2104","Houston Rockets",1045560,"Aaron Brooks","G","2008-2009"
"2105","New Jersey Nets",1042440,"Maurice Ager","SF","2008-2009"
"2106","Portland Trail Blazers",1040640,"Nicolas Batum","SF","2008-2009"
"2107","New York Knicks",1034760,"Mardy Collins","PG","2008-2009"
"2108","Detroit Pistons",1015440,"Arron Afflalo","G","2008-2009"
"2109","San Antonio Spurs",1006200,"George Hill","PG","2008-2009"
"2110","Phoenix Suns",1001880,"Alando Tucker","SF","2008-2009"
"2111","Houston Rockets",998581,"Loren Woods","C","2008-2009"
"2112","New Orleans Hornets",998398,"Melvin Ely","C","2008-2009"
"2113","New Orleans Hornets",998398,"Devin Brown","SG","2008-2009"
"2114","Memphis Grizzlies",977160,"Darrell Arthur","F","2008-2009"
"2115","Charlotte Bobcats",972581,"Ryan Hollins","C","2008-2009"
"2116","Miami Heat",972581,"Chris Quinn","PG","2008-2009"
"2117","Oklahoma City Thunder",964080,"D.J. White","PF","2008-2009"
"2118","Boston Celtics",957120,"J.R. Giddens","SG","2008-2009"
"2119","Chicago Bulls",886517,"Chris Richard","PF","2008-2009"
"2120","Los Angeles Lakers",880658,"Didier Ilunga-Mbenga","C","2008-2009"
"2121","Miami Heat",875000,"Yakhouba Diawara","SG","2008-2009"
"2122","Portland Trail Blazers",874000,"Sergio Rodriguez","PG","2008-2009"
"2123","Philadelphia 76ers",854957,"Royal Ivey","PG","2008-2009"
"2124","Los Angeles Lakers",854957,"Josh Powell","PF","2008-2009"
"2125","Oklahoma City Thunder",854957,"Shaun Livingston","PG","2008-2009"
"2126","Washington Wizards",841000,"Ian Mahinmi","C","2008-2009"
"2127","Indiana Pacers",826269,"Stephen Graham","SF","2008-2009"
"2128","Atlanta Hawks",826269,"Salim Stoudamire","SG","2008-2009"
"2129","Dallas Mavericks",826269,"Brandon Bass","PF","2008-2009"
"2130","Houston Rockets",816500,"Joey Dorsey","PF","2008-2009"
"2131","Utah Jazz",810000,"Kyrylo Fesenko","C","2008-2009"
"2132","Sacramento Kings",809300,"Donte Greene","SF","2008-2009"
"2133","Oklahoma City Thunder",806452,"Kyle Weaver","SG","2008-2009"
"2134","Philadelphia 76ers",797581,"Donyell Marshall","PF","2008-2009"
"2135","Miami Heat",797581,"Luke Jackson","SF","2008-2009"
"2136","Orlando Magic",797581,"Jason Williams","PG","2008-2009"
"2137","Boston Celtics",797581,"Leon Powe","PF","2008-2009"
"2138","LA Clippers",797581,"Paul Davis","C","2008-2009"
"2139","Miami Heat",797581,"Jamaal Magloire","C","2008-2009"
"2140","Toronto Raptors",797581,"Patrick O'Bryant","C","2008-2009"
"2141","New Orleans Hornets",797581,"Sean Marks","PF","2008-2009"
"2142","Atlanta Hawks",797581,"Randolph Morris","C","2008-2009"
"2143","Milwaukee Bucks",757000,"Luc Mbah a Moute","PF","2008-2009"
"2144","Milwaukee Bucks",722517,"Ramon Sessions","G","2008-2009"
"2145","Chicago Bulls",722515,"Lindsey Hunter","SG","2008-2009"
"2146","Atlanta Hawks",711517,"Thomas Gardner","SG","2008-2009"
"2147","Utah Jazz",711517,"Mike Harris","SF","2008-2009"
"2148","Washington Wizards",711517,"Dominic McGuire","PF","2008-2009"
"2149","New York Knicks",711517,"Demetris Nichols","SF","2008-2009"
"2150","Toronto Raptors",711517,"Hassan Adams","SF","2008-2009"
"2151","Toronto Raptors",711517,"Jamario Moon","SF","2008-2009"
"2152","Chicago Bulls",711517,"Aaron Gray","C","2008-2009"
"2153","Detroit Pistons",711517,"Will Bynum","PG","2008-2009"
"2154","Miami Heat",7e+05,"Mario Chalmers","G","2008-2009"
"2155","Charlotte Bobcats",670906,"Dwayne Jones II","PF","2008-2009"
"2156","San Antonio Spurs",631995,"Blake Ahearn","G","2008-2009"
"2157","Detroit Pistons",600532,"Antonio McDyess","PF","2008-2009"
"2158","Orlando Magic",591148,"Jeremy Richardson","SG","2008-2009"
"2159","Charlotte Bobcats",586457,"Juwan Howard","PF","2008-2009"
"2160","Toronto Raptors",577073,"Jake Voskuhl","C","2008-2009"
"2161","LA Clippers",550000,"DeAndre Jordan","C","2008-2009"
"2162","Boston Celtics",542114,"Henry Walker","SF","2008-2009"
"2163","Houston Rockets",502007,"Dikembe Mutombo","C","2008-2009"
"2164","LA Clippers",5e+05,"Mike Taylor","PG","2008-2009"
"2165","LA Clippers",459782,"Fred Jones","SG","2008-2009"
"2166","Memphis Grizzlies",450399,"Darius Miles","SF","2008-2009"
"2167","Cleveland Cavaliers",450000,"Darnell Jackson","PF","2008-2009"
"2168","Denver Nuggets",442114,"Sonny Weems","SG","2008-2009"
"2169","Oklahoma City Thunder",442114,"Steven Hill","C","2008-2009"
"2170","Golden State Warriors",442114,"Anthony Morrow","SG","2008-2009"
"2171","Detroit Pistons",442114,"Walter Sharpe","PF","2008-2009"
"2172","New York Knicks",442114,"Joe Crawford","SG","2008-2009"
"2173","null Unknown",442114,"Taj McCullough","NA","2008-2009"
"2174","Toronto Raptors",442114,"Nathan Jawai","C","2008-2009"
"2175","Sacramento Kings",442114,"Bobby Brown","PG","2008-2009"
"2176","null Unknown",442114,"Jamaal Tatum","NA","2008-2009"
"2177","Atlanta Hawks",442114,"Othello Hunter","SF","2008-2009"
"2178","Golden State Warriors",422725,"Jermareo Davidson","PF","2008-2009"
"2179","San Antonio Spurs",299077,"Malik Hairston","SG","2008-2009"
"2180","Phoenix Suns",201741,"Stromile Swift","PF","2008-2009"
"2181","Houston Rockets",184157,"James White","SG","2008-2009"
"2182","Charlotte Bobcats",93624,"Dontell Jefferson","SG","2008-2009"
"2183","Charlotte Bobcats",52014,"Cartier Martin","PF","2008-2009"
"2184","Cleveland Cavaliers",46917,"Trey Johnson","SG","2008-2009"
"2185","Milwaukee Bucks",46917,"Eddie Gill","PG","2008-2009"
"2186","Los Angeles Lakers",23034375,"Kobe Bryant","SF","2009-2010"
"2187","Milwaukee Bucks",17040000,"Michael Redd","SG","2009-2010"
"2188","Los Angeles Lakers",16452000,"Pau Gasol","C","2009-2010"
"2189","Utah Jazz",16452000,"Andrei Kirilenko","SF","2009-2010"
"2190","Boston Celtics",16417044,"Kevin Garnett","PF","2009-2010"
"2191","Phoenix Suns",16378325,"Amar'e Stoudemire","C","2009-2010"
"2192","Houston Rockets",16378325,"Yao Ming","C","2009-2010"
"2193","Washington Wizards",16192080,"Gilbert Arenas","PG","2009-2010"
"2194","Orlando Magic",16123250,"Vince Carter","SF","2009-2010"
"2195","Memphis Grizzlies",1.6e+07,"Zach Randolph","PF","2009-2010"
"2196","Denver Nuggets",15852511,"Kenyon Martin","PF","2009-2010"
"2197","Miami Heat",23016000,"Jermaine O'Neal","C","2009-2010"
"2198","Miami Heat",15779912,"Dwyane Wade","SG","2009-2010"
"2199","Toronto Raptors",15779912,"Chris Bosh","PF","2009-2010"
"2200","Cleveland Cavaliers",15779912,"LeBron James","SF","2009-2010"
"2201","Denver Nuggets",15779912,"Carmelo Anthony","PF","2009-2010"
"2202","Orlando Magic",15202590,"Dwight Howard","C","2009-2010"
"2203","Atlanta Hawks",14976754,"Joe Johnson","G","2009-2010"
"2204","Philadelphia 76ers",14858472,"Elton Brand","PF","2009-2010"
"2205","San Antonio Spurs",14200000,"Richard Jefferson","F","2009-2010"
"2206","New Orleans Hornets",13520500,"Chris Paul","PG","2009-2010"
"2207","Utah Jazz",13520500,"Deron Williams","PG","2009-2010"
"2208","New York Knicks",22843124,"Tracy McGrady","SG","2009-2010"
"2209","New Orleans Hornets",13392000,"Peja Stojakovic","SF","2009-2010"
"2210","Phoenix Suns",13333332,"Jason Richardson","SG","2009-2010"
"2211","Phoenix Suns",13125000,"Steve Nash","PG","2009-2010"
"2212","San Antonio Spurs",12600000,"Tony Parker","PG","2009-2010"
"2213","Los Angeles Lakers",12500000,"Andrew Bynum","C","2009-2010"
"2214","Utah Jazz",12323900,"Carlos Boozer","PF","2009-2010"
"2215","Chicago Bulls",12250000,"Brad Miller","C","2009-2010"
"2216","Philadelphia 76ers",12200000,"Andre Iguodala","SG","2009-2010"
"2217","Dallas Mavericks",12115500,"Erick Dampier","C","2009-2010"
"2218","LA Clippers",12100000,"Baron Davis","PG","2009-2010"
"2219","San Antonio Spurs",22183220,"Tim Duncan","C","2009-2010"
"2220","Denver Nuggets",12100000,"Chauncey Billups","PG","2009-2010"
"2221","Cleveland Cavaliers",2.1e+07,"Shaquille O'Neal","C","2009-2010"
"2222","Dallas Mavericks",19795714,"Dirk Nowitzki","PF","2009-2010"
"2223","Boston Celtics",19795712,"Paul Pierce","SF","2009-2010"
"2224","Boston Celtics",18776860,"Ray Allen","SG","2009-2010"
"2225","Orlando Magic",18010791,"Rashard Lewis","PF","2009-2010"
"2226","Philadelphia 76ers",12025694,"Samuel Dalembert","C","2009-2010"
"2227","Minnesota Timberwolves",1.2e+07,"Al Jefferson","C","2009-2010"
"2228","Charlotte Bobcats",11700000,"Tyson Chandler","C","2009-2010"
"2229","Washington Wizards",11641095,"Antawn Jamison","PF","2009-2010"
"2230","Detroit Pistons",11375000,"Richard Hamilton","SG","2009-2010"
"2231","New Jersey Nets",11242666,"Bobby Simmons","SF","2009-2010"
"2232","Indiana Pacers",11047619,"Troy Murphy","PF","2009-2010"
"2233","Golden State Warriors",1.1e+07,"Monta Ellis","SG","2009-2010"
"2234","Washington Wizards",10890000,"Josh Howard","SF","2009-2010"
"2235","Atlanta Hawks",10800000,"Josh Smith","PF","2009-2010"
"2236","New Orleans Hornets",10797500,"Emeka Okafor","C","2009-2010"
"2237","San Antonio Spurs",10728130,"Manu Ginobili","G","2009-2010"
"2238","Denver Nuggets",10520000,"Nene Hilario","C","2009-2010"
"2239","New York Knicks",10500423,"Eddy Curry","C","2009-2010"
"2240","LA Clippers",10400000,"Chris Kaman","C","2009-2010"
"2241","Chicago Bulls",10365000,"Luol Deng","SF","2009-2010"
"2242","Detroit Pistons",10324380,"Tayshaun Prince","SF","2009-2010"
"2243","Indiana Pacers",10130500,"Danny Granger","SF","2009-2010"
"2244","New York Knicks",10026875,"Al Harrington","PF","2009-2010"
"2245","Milwaukee Bucks",1e+07,"Andrew Bogut","C","2009-2010"
"2246","Detroit Pistons",1e+07,"Ben Gordon","SG","2009-2010"
"2247","Indiana Pacers",9780992,"Mike Dunleavy","SG","2009-2010"
"2248","Washington Wizards",9780970,"Caron Butler","SF","2009-2010"
"2249","Washington Wizards",9780937,"Mike Miller","SG","2009-2010"
"2250","Sacramento Kings",9680170,"Kevin Martin","SG","2009-2010"
"2251","LA Clippers",9500000,"Cuttino Mobley","SG","2009-2010"
"2252","Charlotte Bobcats",9500000,"Gerald Wallace","SF","2009-2010"
"2253","Chicago Bulls",9500000,"Kirk Hinrich","SG","2009-2010"
"2254","Atlanta Hawks",9360000,"Jamal Crawford","SG","2009-2010"
"2255","Portland Trail Blazers",9150000,"Marcus Camby","C","2009-2010"
"2256","Dallas Mavericks",9075000,"Jason Terry","G","2009-2010"
"2257","New Orleans Hornets",9075000,"David West","F","2009-2010"
"2258","Golden State Warriors",9e+06,"Andris Biedrins","C","2009-2010"
"2259","Charlotte Bobcats",9e+06,"Boris Diaw","C","2009-2010"
"2260","Toronto Raptors",9e+06,"Hedo Turkoglu","SF","2009-2010"
"2261","Golden State Warriors",8937931,"Corey Maggette","SF","2009-2010"
"2262","Cleveland Cavaliers",8860000,"Mo Williams","PG","2009-2010"
"2263","Sacramento Kings",8775000,"Kenny Thomas","PF","2009-2010"
"2264","Miami Heat",8700000,"Quentin Richardson","SF","2009-2010"
"2265","Indiana Pacers",8500000,"T.J. Ford","PG","2009-2010"
"2266","Dallas Mavericks",6635068,"Shawn Marion","SG","2009-2010"
"2267","New Jersey Nets",6606600,"Tony Battie","C","2009-2010"
"2268","Philadelphia 76ers",6600000,"Antonio Daniels","PG","2009-2010"
"2269","Phoenix Suns",6600000,"Leandro Barbosa","G","2009-2010"
"2270","Chicago Bulls",6600000,"Jerome James","C","2009-2010"
"2271","Toronto Raptors",6527491,"Andrea Bargnani","C","2009-2010"
"2272","Milwaukee Bucks",6500000,"Luke Ridnour","PG","2009-2010"
"2273","Detroit Pistons",6500000,"Charlie Villanueva","PF","2009-2010"
"2274","New York Knicks",6466600,"Jared Jeffries","PF","2009-2010"
"2275","Charlotte Bobcats",6466600,"Nazr Mohammed","C","2009-2010"
"2276","Charlotte Bobcats",6466600,"Vladimir Radmanovic","SF","2009-2010"
"2277","Milwaukee Bucks",6429151,"John Salmons","SF","2009-2010"
"2278","Cleveland Cavaliers",6363636,"Anderson Varejao","C","2009-2010"
"2279","Oklahoma City Thunder",6250000,"Nick Collison","F","2009-2010"
"2280","Atlanta Hawks",6217617,"Mike Bibby","PG","2009-2010"
"2281","Philadelphia 76ers",6212960,"Jason Kapono","SG","2009-2010"
"2282","Denver Nuggets",6171426,"JR Smith","SG","2009-2010"
"2283","Indiana Pacers",6077500,"Jeff Foster","PF","2009-2010"
"2284","New York Knicks",6031800,"Chris Duhon","PG","2009-2010"
"2285","New Orleans Hornets",6031800,"James Posey","SF","2009-2010"
"2286","Charlotte Bobcats",6031800,"DeSagana Diop","C","2009-2010"
"2287","New Jersey Nets",8400000,"Devin Harris","PG","2009-2010"
"2288","Toronto Raptors",8219009,"Jose Calderon","PG","2009-2010"
"2289","Dallas Mavericks",8100000,"Jason Kidd","PG","2009-2010"
"2290","Orlando Magic",8100000,"Jameer Nelson","G","2009-2010"
"2291","Miami Heat",7967375,"Mark Blount","C","2009-2010"
"2292","Oklahoma City Thunder",7906088,"Etan Thomas","C","2009-2010"
"2293","Utah Jazz",7692932,"Paul Millsap","PF","2009-2010"
"2294","Charlotte Bobcats",7650000,"Stephen Jackson","SF","2009-2010"
"2295","New York Knicks",7540000,"Darko Milicic","C","2009-2010"
"2296","Sacramento Kings",7500000,"Andres Nocioni","SF","2009-2010"
"2297","Atlanta Hawks",7500000,"Marvin Williams","PF","2009-2010"
"2298","Los Angeles Lakers",7500000,"Lamar Odom","PF","2009-2010"
"2299","Brooklyn Nets",7100000,"Marko Jaric","PG","2009-2010"
"2300","Miami Heat",7100000,"Udonis Haslem","PF","2009-2010"
"2301","New York Knicks",7e+06,"David Lee","PF","2009-2010"
"2302","Houston Rockets",6939200,"Shane Battier","SF","2009-2010"
"2303","Portland Trail Blazers",6857725,"Joel Przybilla","C","2009-2010"
"2304","Milwaukee Bucks",6749260,"Dan Gadzuric","C","2009-2010"
"2305","Portland Trail Blazers",6730800,"Andre Miller","PG","2009-2010"
"2306","Washington Wizards",6e+06,"Brendan Haywood","C","2009-2010"
"2307","Boston Celtics",5854000,"Rasheed Wallace","PF","2009-2010"
"2308","Houston Rockets",5854000,"Trevor Ariza","SF","2009-2010"
"2309","Orlando Magic",5854000,"Marcin Gortat","C","2009-2010"
"2310","Portland Trail Blazers",5844827,"LaMarcus Aldridge","PF","2009-2010"
"2311","New Orleans Hornets",5800000,"Morris Peterson","SG","2009-2010"
"2312","Sacramento Kings",5800000,"Francisco Garcia","SG","2009-2010"
"2313","Charlotte Bobcats",5501196,"Raymond Felton","PG","2009-2010"
"2314","Portland Trail Blazers",5361240,"Greg Oden","C","2009-2010"
"2315","Orlando Magic",5300000,"Mickael Pietrus","SF","2009-2010"
"2316","Los Angeles Lakers",5257229,"Adam Morrison","SF","2009-2010"
"2317","Charlotte Bobcats",5250000,"Raja Bell","SG","2009-2010"
"2318","Atlanta Hawks",5209454,"Speedy Claxton","PG","2009-2010"
"2319","Chicago Bulls",5184480,"Derrick Rose","PG","2009-2010"
"2320","Utah Jazz",5163636,"Kyle Korver","SG","2009-2010"
"2321","Oklahoma City Thunder",5160832,"Nenad Krstic","C","2009-2010"
"2322","Los Angeles Lakers",5048000,"Derek Fisher","PG","2009-2010"
"2323","Los Angeles Lakers",5e+06,"Sasha Vujacic","SG","2009-2010"
"2324","Detroit Pistons",5e+06,"Jason Maxiell","PF","2009-2010"
"2325","New York Knicks",5e+06,"Nate Robinson","PG","2009-2010"
"2326","Toronto Raptors",5e+06,"Jarrett Jack","G","2009-2010"
"2327","Detroit Pistons",4983480,"Blake Griffin","PF","2009-2010"
"2328","Philadelphia 76ers",4972500,"Lou Williams","SG","2009-2010"
"2329","Toronto Raptors",4960000,"Reggie Evans","C","2009-2010"
"2330","Los Angeles Lakers",4840000,"Luke Walton","SF","2009-2010"
"2331","Oklahoma City Thunder",4796880,"Kevin Durant","SF","2009-2010"
"2332","Atlanta Hawks",4750000,"Zaza Pachulia","C","2009-2010"
"2333","Charlotte Bobcats",4743598,"Tyrus Thomas","PF","2009-2010"
"2334","Dallas Mavericks",4700000,"Matt Carroll","SG","2009-2010"
"2335","Miami Heat",4638600,"Michael Beasley","SF","2009-2010"
"2336","LA Clippers",4580735,"Drew Gooden","PF","2009-2010"
"2337","Toronto Raptors",4553793,"Marcus Banks","PG","2009-2010"
"2338","New Orleans Hornets",4526000,"Darius Songaila","PF","2009-2010"
"2339","San Antonio Spurs",4500000,"Antonio McDyess","PF","2009-2010"
"2340","Boston Celtics",4500000,"Kendrick Perkins","C","2009-2010"
"2341","Memphis Grizzlies",4458840,"Hasheem Thabeet","C","2009-2010"
"2342","New Jersey Nets",4350000,"Trenton Hassell","SF","2009-2010"
"2343","Portland Trail Blazers",4344000,"Martell Webster","SF","2009-2010"
"2344","Miami Heat",4330000,"James Jones","SG","2009-2010"
"2345","Atlanta Hawks",4307640,"Al Horford","C","2009-2010"
"2346","Cleveland Cavaliers",4254250,"Delonte West","SG","2009-2010"
"2347","Memphis Grizzlies",4165560,"O.J. Mayo","SG","2009-2010"
"2348","Golden State Warriors",4140000,"Ronny Turiaf","C","2009-2010"
"2349","San Antonio Spurs",4100000,"Bruce Bowen","SF","2009-2010"
"2350","Cleveland Cavaliers",4088500,"Daniel Gibson","SG","2009-2010"
"2351","Memphis Grizzlies",4080915,"Greg Buckner","SG","2009-2010"
"2352","Oklahoma City Thunder",4004160,"James Harden","PG","2009-2010"
"2353","Detroit Pistons",4e+06,"Kwame Brown","C","2009-2010"
"2354","Orlando Magic",4e+06,"Brandon Bass","PF","2009-2010"
"2355","Portland Trail Blazers",4e+06,"Steve Blake","PG","2009-2010"
"2356","LA Clippers",3945000,"Rasual Butler","SF","2009-2010"
"2357","Toronto Raptors",3941667,"Amir Johnson","C","2009-2010"
"2358","Portland Trail Blazers",3910816,"Brandon Roy","SG","2009-2010"
"2359","Minnesota Timberwolves",3892500,"Ryan Gomes","SF","2009-2010"
"2360","Washington Wizards",3883929,"DeShawn Stevenson","SG","2009-2010"
"2361","Memphis Grizzlies",3883800,"Mike Conley","PG","2009-2010"
"2362","Milwaukee Bucks",3800000,"Kurt Thomas","PF","2009-2010"
"2363","San Antonio Spurs",3780000,"Roger Mason Jr.","SG","2009-2010"
"2364","Oklahoma City Thunder",3755640,"Russell Westbrook","PG","2009-2010"
